Stock Name,Ticker,12 Month Sales Growth,5 Year Sales Growth,12 Month EPS Growth,5 Year EPS Growth,Last Quarter EPS Surprise %,Estimated EPS Growth Next Year
IO Biotech,IOBT,,,,,18.92%,1.57%
YS Biopharma,LSB,,,,,0.00%,-44.44%
Richtech Robotics,RR,,,,,0.00%,
ANIXA BIOSCIENCES INC,ANIX,,,,,-11.11%,2.27%
AlphaVest Acquisition,ATMV,,,,,0.00%,
Via Renewables,VIA,-5.87%,-60.65%,81.52%,-34.51%,0.00%,
AltEnergy Acquisition,AEAE,,,,,0.00%,
Spero Therapeutics,SPRO,36.68%,491.30%,,,-242.86%,1.57%
Technology & Telecommunication Acquisition,TETE,,,,,0.00%,
WiMi Hologram Cloud,WIMI,,,,,0.00%,
Kuke Music Holding,KUKE,-6.83%,,-67.86%,,0.00%,
Chain Bridge I,CBRG,,,-18.18%,,0.00%,
Goldenstone Acquisition,GDST,,,,,0.00%,
BGSF,BGSF,9.06%,13.88%,-20.00%,-55.56%,275.00%,
OneConnect Financial Technology,OCFT,-15.70%,,,,0.00%,-6.96%
AlphaTime Acquisition,ATMC,,,,,0.00%,
Southport Acquisition,PORT,,,,,0.00%,
Upland Software,UPLD,-7.14%,107.23%,,,450.00%,11.76%
TenX Keane Acquisition,TENK,,,,,0.00%,
U.S GoldMining,USGO,,,,,0.00%,-100.00%
Old Point Financial,OPOF,35.85%,52.23%,-2.70%,89.47%,0.00%,
Canna-Global Acquisition,CNGL,,,,,0.00%,
TOP Financial Group,TOP,,,,,0.00%,
Barinthus Biotherapeutics,BRNS,30750.00%,,-251.22%,,37.50%,10.00%
Semilux,SELX,,,,,0.00%,
OCA Acquisition,OCAX,,,-11.11%,,0.00%,
Red Cat Holdings,RCAT,386.26%,,,,0.00%,
Swiftmerge Acquisition,IVCP,,,,,0.00%,
Cullman Bancorp,CULL,17.04%,,-26.32%,,0.00%,
Eupraxia Pharmaceuticals,EPRX,,,,,0.00%,
Stabilis Solutions,SLNG,-44.23%,520.67%,,,0.00%,
Tempest Therapeutics,TPST,,,,,18.18%,3.16%
Lulu's Fashion Lounge Holdings,LVLU,-19.31%,,-146.67%,,-114.29%,-21.43%
Aclaris Therapeutics,ACRS,22.22%,-49.18%,,,14.29%,-9.88%
Glatfelter,GLT,-1.91%,65.48%,,,0.00%,
Burning Rock Biotech,BNR,3.28%,,,,0.00%,
HeartBeam,BEAT,,,,,0.00%,
Annovis Bio,ANVS,,,,,17.24%,-20.73%
Genelux,GNLX,,,,,-38.10%,54.95%
AuthID,AUID,-42.86%,,,,0.00%,
Workhorse,WKHS,16800.00%,201.79%,,,-25.00%,-16.67%
Katapult Holdings,KPLT,2.88%,,,,0.00%,
BioAtla,BCAB,,,,,15.79%,-11.88%
Coda Octopus Group,CODA,6.43%,50.14%,80.00%,,0.00%,
Profire Energy,PFIE,49.95%,27.34%,500.00%,100.00%,-25.00%,-100.00%
Coliseum Acquisition,MITA,,,-27.27%,,0.00%,
Clean Energy Special Situations,SWSS,,,,,0.00%,
Allurion Technologies,ALUR,-20.25%,,,,0.00%,-26.15%
Metal Sky Star Acquisition,MSSA,,,,,0.00%,
Eltek,ELTK,17.52%,28.30%,145.45%,,3.85%,4.59%
NorthView Acquisition,NVAC,,,,,0.00%,
Magyar Bancorp,MGYR,27.61%,55.46%,-3.23%,200.00%,0.00%,
Alpha Teknova,TKNO,-1.37%,,,,0.00%,-22.73%
Perma-Pipe Holdings,PPIH,-5.00%,2.67%,,,0.00%,
United Bancorp,UBCP,39.03%,72.17%,0.00%,73.91%,0.00%,
Benitec Biopharma,BNTC,-100.00%,,-100.01%,,0.00%,
Air T,AIRT,44.60%,39.13%,-309.21%,-461.36%,0.00%,
Four Leaf Acquisition,FORL,,,,,0.00%,
Swvl Holdings,SWVL,,,,,0.00%,
SurgePays,SURG,28.13%,786.17%,,,-74.07%,1933.33%
Territorial Bancorp,TBNK,11.40%,-5.47%,-63.04%,-67.92%,-400.00%,-200.00%
Comtech Telecommunications,CMTL,11.63%,-7.80%,,-197.06%,-187.50%,235.71%
Research Frontiers,REFR,111.11%,-40.63%,,,0.00%,
Chijet Motor,CJET,,,,,0.00%,
XIAO-I,AIXI,,,,,0.00%,-66.67%
Sono-Tek,SOTK,-26.80%,26.64%,-100.00%,-100.00%,0.00%,0.00%
Silver Spike Investment,SSIC,,,533.33%,,-112.50%,-100.00%
Passage Bio,PASG,,,,,18.92%,-38.68%
VTv Therapeutics,VTVT,-68.75%,1011.11%,,,0.00%,
Fortune Rise Acquisition,FRLA,,,,,0.00%,
"STEEL CONNECT, INC",STCN,-10.49%,-76.21%,-92.08%,,0.00%,
UCloudlink Group,UCL,15.37%,,,,200.00%,-100.00%
Lake Shore Bancorp,LSBK,26.15%,52.36%,-51.72%,-12.50%,0.00%,
Freightcar America,RAIL,56.01%,32.75%,-225.86%,,0.00%,123.53%
Instil Bio,TIL,,,,,-73.15%,9.26%
IPower,IPW,5.79%,,,,183.33%,-110.00%
Mercurity Fintech Holding,MFH,-99.70%,,,,0.00%,
Rallybio,RLYB,,,,,6.00%,-16.90%
Distoken Acquisition,DIST,,,,,0.00%,
Aileron Therapeutics,ALRN,,,,,0.00%,191.94%
InspireMD,NSPR,7.84%,65.00%,,,-40.00%,-15.85%
Maquia Capital Acquisition,MAQC,,,-75.00%,,0.00%,
Bright Scholar Education,BEDU,-58.98%,,-104.17%,,0.00%,
Eledon Pharmaceuticals,ELDN,,,,,8.11%,-38.79%
Cheche Group,CCG,,,,,0.00%,
Intensity Therapeutics,INTS,,,,,0.00%,
Where Food Comes From,WFCF,15.01%,38.06%,125.00%,125.00%,0.00%,
BioXcel Therapeutics,BTAI,,,,,-27.94%,-28.74%
Adams Resources & Energy,AE,50.11%,188.82%,38.89%,,47.22%,-124.53%
Checkpoint Therapeutics,CKPT,-20.00%,-88.24%,,,10.81%,-103.10%
Lead Real Estate,LRE,,,,,0.00%,
Bank Of South Carolina,BKSC,2.81%,19.35%,10.00%,26.92%,0.00%,
Atara Biotherapeutics,ATRA,-98.14%,,-477.78%,,37.84%,15.87%
Personalis,PSNL,-8.44%,,,,40.91%,-15.08%
Pro-Dex,PDEX,-15.69%,70.24%,-25.00%,1300.00%,0.00%,
Globalink Investment,GLLI,,,,,0.00%,
CarParts,PRTS,0.43%,129.93%,-114.29%,,0.00%,
MediciNova,MNOV,,,,,-20.00%,4.35%
PLBY,PLBY,-26.69%,,,,0.00%,-7.14%
Blue Ridge Bankshares,BRBS,10.96%,,-58.33%,,0.00%,
AVROBIO,AVRO,,,,,0.00%,-64.58%
ComScore,SCOR,2.46%,-7.60%,,,-89.47%,-100.00%
Bluerock Homes Trust,BHM,,,,,0.00%,
Clover Leaf Capital,CLOE,,,,,0.00%,
Affimed,AFMD,-46.10%,644.62%,,,0.00%,-17.44%
Quantum Computing,QUBT,,,,,0.00%,
Village Bank And Trust Financial,VBFC,7.50%,36.66%,-43.92%,84.44%,0.00%,
GSI Technology,GSIT,-38.37%,-51.92%,,-1700.00%,0.00%,
Creative Media & Community Trust,CMCT,24.09%,-36.44%,,,0.00%,-41.94%
LightInTheBox Holding,LITB,57.60%,110.96%,,,0.00%,
Aura FAT Projects Acquisition,AFAR,,,,,0.00%,
Lantern Pharma,LTRN,,,,,-18.60%,2.02%
FTC Solar,FTCI,5.34%,,,,9.09%,-59.38%
Future Health ESG,FHLT,,,,,0.00%,
Arqit Quantum,ARQQ,,,,,0.00%,-52.94%
Bionano Genomics,BNGO,29.84%,155.46%,,,0.00%,-28.88%
FutureTech II Acquisition,FTII,,,,,0.00%,
Wrap Technologies,WRAP,46.12%,,,,0.00%,
RF Acquisition,RFAC,,,,,0.00%,
Roth CH Acquisition V,ROCL,,,,,0.00%,
CollPlant Biotechnologies,CLGN,14442.86%,5555.56%,,,-5.71%,-63.38%
Auburn National Bancorporation,AUBN,17.99%,14.46%,7.84%,-11.29%,0.00%,
Wag! Group,PET,55.09%,,,,21.43%,-62.96%
Dyadic,DYAI,27.27%,425.00%,,,0.00%,28.00%
5E Advanced Materials,FEAM,,,,,-33.33%,-31.11%
Newbury Street Acquisition,NBST,,,,,0.00%,
EnVVeno Medical,NVNO,100.00%,,,,0.00%,-52.14%
Fossil,FOSL,-13.26%,-44.16%,,,0.00%,
JVSPAC Acquisition,JVSA,,,,,0.00%,
Safety Shot,SHOT,-21.00%,,,,0.00%,
Monogram Orthopaedics,MGRM,,,,,8.33%,18.60%
Linkage Global,LGCB,,,,,0.00%,
Spruce Power Holding,SPRU,,,,,0.00%,
Clipper Realty,CLPR,8.31%,26.52%,,,133.33%,-3.23%
Inception Growth Acquisition,IGTA,,,,,0.00%,
Xos,XOS,-51.38%,,,,17.81%,-36.52%
TOP Ships,TOPS,,,,,0.00%,
EUDA Health Holdings,EUDA,,,,,0.00%,
Feutune Light Acquisition,FLFV,,,,,0.00%,
Leap Therapeutics,LPTX,0.00%,,,,10.53%,-10.84%
LeddarTech Holdings,LDTC,,,,,-150.00%,6.11%
DIH Holding US,DHAI,,,,,0.00%,
Blue World Acquisition,BWAQ,,,,,0.00%,
Intellicheck Mobilisa,IDN,17.71%,372.00%,,,66.67%,500.00%
Pixelworks,PXLW,-28.67%,-29.30%,,,10.00%,-45.10%
AEON Biopharma,AEON,,,-68.75%,,9.68%,-4.40%
EuroDry,EDRY,-37.96%,144.40%,-115.11%,,-306.90%,450.66%
Zevia PBC,ZVIA,-7.25%,,,,0.00%,-35.14%
Champions Oncology,CSBR,1.48%,165.65%,,,0.00%,
Grove Collaborative Holdings,GROV,-16.61%,,,,0.00%,
GAN,GAN,-3.46%,,,,0.00%,
Digital Health Acquisition,DHAC,,,,,0.00%,
Corner Growth Acquisition 2,TRON,,,,,0.00%,
Farmer Brothers,FARM,,-42.82%,,-23600.00%,-6.25%,-28.79%
Regencell Bioscience Holdings,RGC,,,,,0.00%,
Curis,CRIS,-7.95%,-6.78%,,,-5.67%,-17.07%
CalciMedica,CALC,,,,,14.00%,-21.46%
Enzo Biochem,ENZ,-38.56%,-36.15%,,,0.00%,
LivePerson,LPSN,-26.44%,58.16%,,,8.33%,3.70%
Comstock Holding,CHCI,5.90%,160.00%,-83.33%,,0.00%,
HHG Capital,HHGC,,,,,0.00%,
SPAR,SGRP,-2.74%,11.35%,-40.00%,,400.00%,33.33%
Turnstone Biologics,TSBX,,,-1900.00%,,-8.97%,-12.50%
Bellevue Life Sciences Acquisition,BLAC,,,,,0.00%,
Asensus Surgical,ASXC,-0.39%,1322.22%,,,-40.00%,-45.83%
Celularity,CELU,-15.02%,,-94.76%,,0.00%,
Bannix Acquisition,BNIX,,,,,0.00%,
Marchex,MCHX,-7.33%,-38.08%,,,0.00%,-45.45%
Raytech Holding,RAY,,,,,0.00%,
Hyperfine,HYPR,120.92%,,,,0.00%,-1.89%
Beachbody,BODI,-24.67%,,,,-0.52%,-19.57%
SYLA Technologies,SYT,,,,,0.00%,
Logan Ridge Finance,LRFC,61.82%,-55.05%,,-31.41%,0.00%,0.00%
Manhattan Bridge Capital,LOAN,13.21%,43.71%,0.00%,0.00%,0.00%,
Nutriband,NTRB,0.00%,,,,0.00%,
Dawson Geophysical,DWSN,323.90%,-44.08%,,,0.00%,
Nine Energy Service,NINE,13.40%,-21.44%,,-121.62%,25.00%,-42.59%
BioLineRx,BLRX,,,,,96.55%,-10.64%
Alpha Technology Group,ATGL,,,,,0.00%,
Pathfinder Bancorp,PBHC,36.23%,85.64%,-39.02%,13.64%,0.00%,
AN2 Therapeutics,ANTX,,,,,8.20%,-2.87%
IF Bancorp,IROQ,33.29%,38.80%,-37.50%,42.86%,0.00%,
Alpha Pro Tech,APT,1.66%,22.16%,-33.33%,-42.86%,0.00%,
Dragonfly Energy Holdings,DFLI,-10.87%,,,,-6.25%,-41.82%
FIRST US BANCSH,FUSB,32.95%,44.96%,40.91%,416.67%,0.00%,
Genenta Science S.p.A,GNTA,,,,,0.00%,17.20%
Cactus Acquisition 1,CCTS,,,,,0.00%,
Clean Energy Technologies,CETY,271.79%,1605.88%,,,0.00%,
Cidara Therapeutics,CDTX,22.35%,,,,-52.00%,-196.63%
Protara Therapeutics,TARA,,,,,2.02%,0.84%
OneMedNet,ONMD,,,-106.67%,,0.00%,
Neuronetics,STIM,7.84%,32.91%,,,18.18%,-32.97%
TC Bancshares,TCBC,31.16%,,-75.00%,,0.00%,
Theratechnologies,THTX,-8.93%,82.81%,,,0.00%,-333.33%
"Natuzzi, S.p.A",NTZ,-30.50%,-28.73%,-100.00%,,0.00%,
Finance Of America,FOA,,,,,14.29%,-377.78%
Apyx Medical,APYX,31.88%,267.75%,,,-22.22%,-21.33%
Mural Oncology,MURA,,,,,30.83%,-47.75%
Aetherium Acquisition,GMFI,,,,,0.00%,
Ideal Power,IPWR,180.00%,,,,0.00%,
Airgain,AIRG,-17.94%,5.74%,,,10.53%,-78.57%
Mobix Labs,MOBX,,,,,0.00%,
Cenntro,CENN,131.69%,,,,0.00%,
Solowin Holdings,SWIN,,,,,0.00%,
Global Self Storage,SELF,3.69%,52.97%,25.00%,0.00%,0.00%,
LENZ Therapeutics,LENZ,,,,,-320.24%,-7.84%
Great Elm,GEG,,44.98%,,,0.00%,
CuriosityStream,CURI,-36.91%,,,,-80.00%,-68.42%
Immix Biopharma,IMMX,,,,,4.35%,3.30%
Reneo Pharmaceuticals,RPHM,,,,,32.43%,-54.22%
Culp,CULP,7.89%,-21.42%,,-138.38%,-62.50%,-97.35%
Birks Group,BGI,,,,,0.00%,
Carisma Therapeutics,CARM,31.85%,,,,-24.32%,-11.05%
Beamr Imaging,BMR,,,,,0.00%,
Hennessy Advisors,HNNA,-17.51%,-58.00%,-11.76%,-71.70%,0.00%,
Prenetics Global,PRE,-80.77%,,,,0.00%,-100.00%
Pyxis Tankers,PXS,68.16%,76.33%,,491.67%,0.00%,
US Gold Corp,USAU,,,,-123.33%,0.00%,-100.00%
Junee,JUNE,,,,,0.00%,
Edgio,EGIO,134.72%,125.86%,,,0.00%,-100.00%
Caravelle Group,CACO,,,,,0.00%,
SEP Acquisition,SEPA,,,-128.57%,,0.00%,
Optex Systems Holdings,OPXS,16.21%,17.16%,80.00%,125.00%,0.00%,
Viomi Technology,VIOT,-41.38%,,-210.00%,,0.00%,-100.00%
Phunware,PHUN,-36.43%,,,,10.87%,-11.11%
ARCA Biopharma,ABIO,,,,,0.00%,
LENSAR,LNSR,49.38%,,,,0.00%,
Crown Crafts,CRWS,-15.88%,-4.76%,-60.87%,-30.77%,0.00%,
Rockwell Medical,RMTI,-3.21%,21.26%,,,60.00%,-128.57%
Anebulo Pharmaceuticals,ANEB,,,,,45.45%,10.64%
Ark Restaurants,ARKR,-4.08%,13.95%,-39.73%,17.33%,0.00%,
Harte Hanks,HHS,-1.63%,-31.41%,-84.62%,,300.00%,142.11%
DURECT,DRRX,0.00%,-39.00%,,,-19.05%,-14.12%
Kingstone,KINS,26.71%,33.28%,,-120.00%,0.00%,-100.00%
Equillium,EQ,,,,,52.94%,541.67%
Catalyst Bancorp,CLST,12.82%,,,,0.00%,
KOREs,KORE,-1.95%,,,,-75.00%,-52.00%
Gorilla Technology Group,GRRR,,,,,0.00%,-27.78%
IN8bio,INAB,,,,,-17.65%,-5.00%
Bright Green,BGXX,,,,,0.00%,
ClimateRock,CLRC,,,,,0.00%,
INNOVATE,VATE,-5.97%,-25.76%,,-112.04%,0.00%,
LL Flooring Holdings,LL,-20.92%,-16.60%,-1600.00%,,0.00%,
Palladyne AI,PDYN,-57.89%,,,,0.00%,
Carmell,CTCX,,,,,0.00%,
CASI Pharmaceuticals,CASI,57.84%,,,,-1320.00%,-16.80%
Mullen Automotive,MULN,-98.12%,,,,0.00%,
Flanigan's Enterprises,BDL,18.07%,53.77%,-6.85%,161.54%,0.00%,
NSTS Bancorp,NSTS,-9.09%,,-200.00%,,0.00%,
Ocean Biomedical,OCEA,,,,,0.00%,
Altisource Portfolio Solutions S.A,ASPS,-12.82%,-83.88%,,-1100.00%,12.90%,-100.00%
Flux Power Holdings,FLUX,6.91%,1377.27%,,,-45.45%,-54.17%
Kezar Life Sciences,KZR,,,,,11.76%,2.42%
Vision Sensing Acquisition,VSAC,,,,,0.00%,
Bank Of The James Financial,BOTJ,15.07%,65.40%,-4.44%,79.17%,0.00%,
LightPath Technologies,LPTH,8.64%,19.65%,,,-133.33%,-45.00%
Shimmick,SHIM,,,,,-218.92%,-98.28%
"FLUENT, INC",FLNT,-16.48%,44.27%,,66.67%,-483.33%,-35.94%
BP Prudhoe Bay Royalty Trust,BPT,,,-100.00%,-100.00%,0.00%,
Lexaria Bioscience,LEXX,-10.00%,-35.71%,,,0.00%,-10.87%
"LAZYDAYS HOLDINGS, INC",GORV,-17.45%,90.23%,-85.19%,200.00%,-279.07%,-1.24%
ICC Holdings,ICCH,39.53%,70.10%,,,0.00%,
Mesa Air,MESA,-0.40%,-10.63%,,-126.04%,0.00%,
Aquaron Acquisition,AQU,,,,,0.00%,
Data Storage,DTST,22.15%,114.55%,,,0.00%,
Ashford Hospitality Trust Inc,AHT,7.94%,-3.45%,,,-400.00%,-100.00%
Welsbach Technology Metals Acquisition,WTMA,,,,,0.00%,
NeueHealth,NEUE,99.53%,,,,0.00%,-100.00%
Hudson Acquisition I,HUDA,,,,,0.00%,
XBP Europe Holdings,XBP,,,-142.86%,,0.00%,
GRIID Infrastructure,GRDI,,,,,0.00%,
Neonode,NEON,-5.51%,-36.17%,,,0.00%,
Breeze Holdings Acquisition,BREZ,,,-177.78%,,0.00%,
Cytosorbents,CTSO,10.82%,63.54%,,,0.00%,-41.67%
IceCure Medical,ICCM,,,,,0.00%,-3.57%
Inotiv,NOTV,-8.80%,2507.12%,,,-680.00%,-110.81%
Intergroup,INTG,-16.89%,-30.46%,,-100.00%,0.00%,
Direct Digital Holdings,DRCT,138.29%,,,,-128.57%,175.00%
Mars Acquisition,MARX,,,,,0.00%,
Sequans Communications S.A,SQNS,15.21%,40.55%,,,-44.44%,-74.55%
Ondas Holdings,ONDS,811.67%,27250.00%,,,-6.25%,-74.00%
Globus Maritime,GLBS,-53.95%,,-84.71%,,0.00%,
Gryphon Digital Mining,GRYP,-34.38%,,,,0.00%,
Adit EdTech Acquisition,ADEX,,,,,0.00%,
SCHMID Group,SHMD,,,,,0.00%,
Kronos Bio,KRON,,,,,-16.28%,-9.88%
Arogo Capital Acquisition,AOGO,,,,,0.00%,
Able View Global,ABLV,,,,,0.00%,
"BK TECHNOLOGIES, INC",BKTI,-5.62%,0.76%,,-450.00%,0.00%,
BayFirst Financial,BAFN,86.08%,,,,0.00%,
Envoy Medical,COCH,,,-233.33%,,-68.42%,-2.50%
Lucid Diagnostics,LUCD,-15.79%,,,,0.00%,-100.00%
Vicarious Surgical,RBOT,,,,,10.00%,13.89%
Metalpha Technology Holding,MATH,,,,,0.00%,
Beyond Air,XAIR,-63.49%,,,,18.03%,-23.68%
PermRock Royalty Trust,PRT,-55.14%,-80.20%,-61.54%,-84.13%,0.00%,
Aligos Therapeutics,ALGS,86.72%,,,,-15.79%,-14.86%
Gain Therapeutics,GANX,900.00%,,,,26.67%,7.21%
Zepp Health,ZEPP,-21.33%,,,,0.00%,
DZS,DZSI,10.13%,51.95%,,,0.00%,-27.59%
Texas Community Bancshares,TCBS,49.41%,,-64.29%,,0.00%,
First Seacoast Bancorp,FSEA,21.09%,39.06%,-400.00%,,0.00%,
Investcorp Credit Management BDC,ICMB,13.40%,-61.04%,,-46.15%,16.67%,
Meta Data,AIU,-34.08%,,,,0.00%,
WinVest Acquisition,WINV,,,,,0.00%,
REE Automotive,REE,,,,,-8.29%,-43.93%
YY,YYGH,,,,,0.00%,
Treasure Global,TGL,-3.72%,,,,0.00%,
PERMIANVILLE ROYALTY TRUST,PVL,-20.10%,237.20%,-25.00%,-53.85%,0.00%,
T2 Biosystems,TTOO,-66.84%,-50.13%,,,0.00%,
NCS Multistage Holdings,NCSM,-7.54%,-41.50%,,,0.00%,58.33%
Key Tronic,KTCC,28.84%,38.95%,-10.00%,,0.00%,
Mobile-health Network Solutions,MNDR,,,,,0.00%,-69.23%
Eagle Pharmaceuticals,EGRX,65.37%,4.57%,,-155.10%,0.00%,
ReAlpha Tech,AIRE,-22.22%,,,,0.00%,
Augmedix,AUGX,47.07%,,,,0.00%,-100.00%
Castor Maritime,CTRM,-35.28%,,-47.62%,,0.00%,
Acri Capital Acquisition,ACAC,,,,,0.00%,
Aqua Metals,AQMS,-49.57%,,,,0.00%,-45.00%
One Stop Systems,OSS,-5.96%,192.19%,-700.00%,,14.29%,-92.86%
Integral Acquisition 1,INTE,,,,,0.00%,
Velo3D,VLD,27.95%,,-119.05%,,0.00%,
Moringa Acquisition,MACA,,,,,0.00%,
Broadway Financial,BYFC,27.53%,106.24%,700.00%,0.00%,0.00%,
Aadi Bioscience,AADI,80.23%,,,,-3.03%,12.60%
Kairous Acquisition,KACL,,,,,0.00%,
Vast Renewables,VSTE,,,,,0.00%,
PodcastOne,PODC,,,,,0.00%,-25.00%
Moolec Science SA,MLEC,,,,,0.00%,
1895 Bancorp Of Wisconsin,BCOW,56.73%,21.22%,,,0.00%,
Quantum,QMCO,6.40%,-11.32%,,,0.00%,-11.11%
Citizens Holding,CIZN,9.18%,40.16%,40.63%,,0.00%,
Holdco Nuvo Group D.G,NUVO,,,,,0.00%,
Ocuphire Pharma,OCUP,,,,,-61.11%,-55.17%
Eyenovia,EYEN,,,,,0.00%,19.64%
Koss,KOSS,-28.44%,-57.12%,-150.00%,-150.00%,0.00%,
China Green Agriculture,CGA,-25.97%,-45.17%,,-99.17%,0.00%,
OptimumBank Holdings,OPHC,86.85%,728.70%,12.50%,-86.67%,0.00%,
Yotta Acquisition,YOTA,,,,,0.00%,
CFSB Bancorp,CFSB,12.99%,,-91.30%,,0.00%,
Hudson Global,HSON,-20.84%,163.81%,-81.63%,,-376.92%,-2092.86%
Cutera,CUTR,-3.72%,45.31%,,,30.91%,-41.09%
Ebang Holdings,EBON,,,,,0.00%,
NextCure,NXTC,,,,,-35.56%,-4.09%
Stronghold Digital Mining,SDIG,-38.70%,,,,488.89%,-13.58%
OKYO Pharma,OKYO,,,,,0.00%,-5.00%
Vivakor,VIVK,15440.00%,,,,0.00%,
Autonomix Medical,AMIX,,,,,0.00%,
Cepton,CPTN,8.98%,,-1000.00%,,-3.57%,-0.90%
United-Guardian,UG,-27.00%,-31.88%,-28.57%,-66.67%,0.00%,
DarioHealth,DRIO,-0.49%,198.54%,,,66.10%,-13.07%
Lichen China,LICN,,,,,0.00%,
CDT Environmental Technology Investment Holdings,CDTG,,,,,0.00%,
Enviva,EVA,-13.38%,48.63%,,-503.45%,0.00%,
Jianzhi Education Technology Group,JZ,,,,,0.00%,
Clene,CLNN,575.00%,,,,0.00%,-8.82%
Usio Inc,USIO,31.07%,238.54%,,,-133.33%,62.50%
BM Technologies,BMTX,-13.05%,,-168.33%,,140.00%,-100.00%
PSIs,AIBAF,,,,,0.00%,
CareCloud,CCLD,-21.14%,238.25%,,,93.75%,19.44%
NKGen Biotech,NKGN,,,-77.78%,,0.00%,
Daxor,DXR,,,,,0.00%,
Dare Bioscience,DARE,,,,,-16.67%,-147.83%
HCW Biologics,HCWB,37.78%,,,,0.00%,
Immuneering,IMRX,-76.00%,,,,-8.89%,-16.83%
Central Plains Bancshares,CPBI,,,,,0.00%,
Liberty TripAdvisor Holdings,LTRPA,51.49%,4.56%,-141.49%,,0.00%,
AmeriServ Financial,ASRV,19.59%,22.64%,-108.33%,-110.00%,0.00%,
NRx Pharmaceuticals,NRXP,,,,,0.00%,-100.00%
Cetus Capital Acquisition,CETU,,,,,0.00%,
SHF Holdings,SHFS,147.03%,,,,0.00%,
Scienjoy Holding,SJ,,,,,0.00%,
BEST,BEST,-12.16%,-68.69%,,,0.00%,
"IZEA WORLDWIDE, INC",IZEA,-15.02%,159.47%,,,0.00%,-155.56%
Natural Alternatives,NAII,-31.68%,-8.47%,-32.69%,-16.67%,0.00%,
Nova Vision Acquisition,NOVV,,,,,0.00%,
Xilio Therapeutics,XLO,,,,,-96.67%,-21.62%
Tandy Leather Factory,TLF,-5.05%,-8.91%,,-53.85%,0.00%,
GameSquare Holdings,GAME,34.23%,,,,-34.48%,-82.76%
Acurx Pharmaceuticals,ACXP,,,,,-16.67%,81.25%
Benson Hill,BHIL,16.46%,,,,-55.56%,-48.00%
IRIDEX,IRIX,-6.54%,24.85%,,,-75.00%,-44.90%
ReWalk Robotics,LFWD,39.77%,-22.15%,,,-4.29%,-84.54%
Cumulus Media,CMLS,-11.24%,-26.33%,-114.29%,-100.17%,36.09%,41.40%
Precision Optics,POCI,4.80%,243.84%,,,0.00%,
Lightbridge,LTBR,,,,,0.00%,
DUET Acquisition,DUET,,,,,0.00%,
Sonder Holdings,SOND,55.52%,,,,0.00%,
Qomolangma Acquisition,QOMO,,,,,0.00%,
Digihost Technology,DGHI,-19.70%,,-192.31%,,0.00%,-10.00%
ElectroCore,ECOR,64.35%,810.26%,,,-6.00%,-88.41%
Icad Inc,ICAD,-22.56%,-4.71%,,,0.00%,
Aware,AWRE,-25.00%,-15.43%,,,0.00%,
Huize Holding,HUIZ,-7.85%,,-100.00%,,0.00%,
Reviva Pharmaceuticals Holdings,RVPH,,,,,10.71%,-8.16%
MIND C.T.I,MNDO,0.19%,15.13%,0.00%,0.00%,0.00%,
Harris & Harris,TURN,,,,,0.00%,
Fathom Holdings,FTHM,-21.91%,,,,-29.17%,-35.63%
ClearSign Technologies,CLIR,200.00%,,,,0.00%,-108.33%
Pioneer Power Solutions,PPSI,172.00%,-73.96%,,,0.00%,106.25%
Team,TISI,8.10%,-30.36%,,,0.00%,
Achilles Therapeutics,ACHL,,,,,34.78%,4.76%
Western Acquisition Ventures,WAVS,,,,,0.00%,
Movano,MOVE,,,,,0.00%,
Rafael Holdings,RFL,-12.50%,-93.58%,,,0.00%,
Nature Wood Group,NWGL,,,,,0.00%,
Jerash Holdings (US),JRSH,-23.17%,168.59%,,,0.00%,
Huadi Group,HUDI,,,,,0.00%,
Lipocine,LPCN,,,,,0.00%,-94.00%
VYNE Therapeutics,VYNE,7.69%,,,,37.50%,2.60%
Hour Loop,HOUR,51.49%,,,,0.00%,
Oncology Institute,TOI,31.68%,,,,-83.33%,-61.90%
Fortress Biotech,FBIO,-7.94%,154.99%,,,49.26%,-33.73%
Cyclo Therapeutics,CYTH,-77.78%,-65.71%,,,25.00%,-18.75%
MariaDB,MRDB,21.87%,,,,0.00%,
Home Federal Bancorp Of Louisiana,HFBL,45.68%,50.18%,25.00%,29.03%,0.00%,
Mogo Inc,MOGO,-13.80%,3.53%,,,44.00%,-3.17%
Hydrofarm Holdings,HYFM,-35.34%,,,,3.45%,-16.35%
Pixie Dust Technologies,PXDT,,,,,0.00%,
ECD Automotive Design,ECDA,,,,,0.00%,300.00%
CXApp,CXAI,,,-100.00%,,0.00%,
U.S Global Investors,GROW,-39.15%,143.38%,,,0.00%,
Quince Therapeutics,QNCX,,,,,0.00%,
Surrozen,SRZN,,,,,0.24%,-73.46%
Modular Medical,MODD,,,,,-35.29%,
LianBio,LIANY,,,-106.01%,,0.00%,
Cara Therapeutics,CARA,-69.87%,,,,-47.37%,-28.46%
TransAct Technologies,TACT,57.77%,34.98%,,-50.00%,37.50%,-37.78%
Franklin Wireless,FKWL,40.03%,126.67%,,,0.00%,
Reading Inc,RDI,0.85%,-22.79%,,-154.55%,0.00%,
Volato,SOAR,,,,,0.00%,
Alternus Clean Energy,ALCE,,,,,0.00%,
Promis Neurosciences,PMN,,,,,0.00%,-30.63%
Fundamental Global,FGF,4253.33%,-51.77%,,-68.75%,0.00%,
Sypris Solutions,SYPR,22.66%,55.07%,,-75.00%,0.00%,
